caseNumber,caseCategory,caseFormula,family,identifier,end,field,reference,solver,signedAbsoluteError,absoluteError,signedRelativeError,absoluteRelativeError,signedPercentError,absolutePercentError,strictLimit,failureReason
3,OPE,W+T1+P1,displacement,20,,RZ,-0.000008866272600131193,-0.000009720727748923664,-8.544551487924709e-7,8.544551487924709e-7,0.09637140513588852,0.09637140513588852,9.637140513588852,9.637140513588852,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,30,,RY,-0.00005667084081225588,-0.00008661820275804072,-0.000029947361945784843,0.000029947361945784843,0.5284439319507731,0.5284439319507731,52.84439319507731,52.84439319507731,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,30,,RZ,-0.0031123234820338483,-0.0034150526673846784,-0.00030272918535083,0.00030272918535083,0.09726790518349393,0.09726790518349393,9.726790518349393,9.726790518349393,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,31,,RY,-0.00005424483315198376,-0.00008181024756766772,-0.000027565414415683957,0.000027565414415683957,0.5081666365983812,0.5081666365983812,50.81666365983813,50.81666365983813,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,31,,RZ,-0.0031170707775992727,-0.0034249955873626816,-0.0003079248097634089,0.0003079248097634089,0.09878659540755394,0.09878659540755394,9.878659540755393,9.878659540755393,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,31,,UX,0.0009186530000000001,0.0009722142474249774,0.000053561247424977355,0.000053561247424977355,0.05830411202595251,0.05830411202595251,5.830411202595251,5.830411202595251,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,31,,UY,-0.000912319,-0.0011134837038241992,-0.0002011647038241992,0.0002011647038241992,0.22049820712294627,0.22049820712294627,22.049820712294625,22.049820712294625,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,38,,RZ,0.0008519301144834722,0.000706377637189868,-0.00014555247729360413,0.00014555247729360413,-0.17085025499052,0.17085025499052,-17.085025499052,17.085025499052,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,38,,UY,0.000151709,0.0006357200146198953,0.00048401101461989537,0.00048401101461989537,3.190390910360594,3.190390910360594,319.0390910360594,319.0390910360594,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,39,,RZ,0.000578943166179039,0.00043543651877851443,-0.00014350664740052458,0.00014350664740052458,-0.24787691743155482,0.24787691743155482,-24.78769174315548,24.78769174315548,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,39,,UX,-0.000162702,-0.00017853218552152795,-0.000015830185521527952,0.000015830185521527952,0.09729558039561868,0.09729558039561868,9.729558039561867,9.729558039561867,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,39,,UY,0.001273476,0.0017864253131204299,0.0005129493131204299,0.0005129493131204299,0.4027946448307074,0.4027946448307074,40.27946448307074,40.27946448307074,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,40,,RZ,0.00042645374943229447,0.00029213442968505896,-0.0001343193197472355,0.0001343193197472355,-0.314968082531915,0.314968082531915,-31.4968082531915,31.4968082531915,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,40,,UY,0.0022659,0.0027980237556038475,0.0005321237556038475,0.0005321237556038475,0.2348399115600192,0.2348399115600192,23.48399115600192,23.48399115600192,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,48,,RZ,0.0003486295180858673,0.0002359816625279269,-0.00011264785555794042,0.00011264785555794042,-0.3231162300209912,0.3231162300209912,-32.31162300209912,32.31162300209912,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,48,,UX,-0.000614885,-0.00047736342487528775,0.00013752157512471227,0.00013752157512471227,-0.22365413878158072,0.22365413878158072,-22.365413878158073,22.365413878158073,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,48,,UY,0.007328787,0.007937398538858937,0.0006086115388589369,0.0006086115388589369,0.08304396605590214,0.08304396605590214,8.304396605590213,8.304396605590213,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,49,,RZ,-0.00008309512568745002,-0.00019441823105130027,-0.00011132310536385024,0.00011132310536385024,1.3397068052171386,1.3397068052171386,133.97068052171386,133.97068052171386,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,49,,UX,-0.00043245699999999997,-0.0002798526208222753,0.00015260437917772468,0.00015260437917772468,-0.3528775789910319,0.3528775789910319,-35.28775789910319,35.28775789910319,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,49,,UY,0.007811348,0.008422259842262848,0.0006109118422628476,0.0006109118422628476,0.07820824808507412,0.07820824808507412,7.820824808507412,7.820824808507412,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,49,,UZ,0.00036858699999999997,0.00045068774354182237,0.0000821007435418224,0.0000821007435418224,0.22274454482068656,0.22274454482068656,22.274454482068656,22.274454482068656,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,50,,RZ,-0.00048671996850365866,-0.0005973250031884161,-0.00011060503468475746,0.00011060503468475746,0.22724573028058545,0.22724573028058545,22.724573028058543,22.724573028058543,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,50,,UX,0.000057681999999999994,0.00022250281309539052,0.00016482081309539053,0.00016482081309539053,2.8574046166116043,2.8574046166116043,285.74046166116045,285.74046166116045,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,50,,UY,0.007976278,0.008578307624246589,0.0006020296242465889,0.0006020296242465889,0.0754775127254327,0.0754775127254327,7.54775127254327,7.54775127254327,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,58,,RZ,-0.0006143908032870438,-0.0007233437098261029,-0.00010895290653905915,0.00010895290653905915,0.17733485910946534,0.17733485910946534,17.733485910946534,17.733485910946534,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,58,,UX,0.001916876,0.002109766871006077,0.00019289087100607697,0.00019289087100607697,0.10062772500989994,0.10062772500989994,10.062772500989995,10.062772500989995,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,58,,UY,0.007728367999999999,0.008284772786404541,0.0005564047864045421,0.0005564047864045421,0.07199512062631362,0.07199512062631362,7.199512062631362,7.199512062631362,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,59,,RZ,-0.0005026722778668868,-0.0006077652213097012,-0.00010509294344281431,0.00010509294344281431,0.20906850858929618,0.20906850858929618,20.90685085892962,20.90685085892962,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,59,,UX,0.002371347,0.0025667537587094184,0.00019540675870941817,0.00019540675870941817,0.0824032748937284,0.0824032748937284,8.24032748937284,8.24032748937284,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,59,,UY,0.007466088,0.008008022140623385,0.0005419341406233845,0.0005419341406233845,0.07258609068408843,0.07258609068408843,7.258609068408843,7.258609068408843,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,60,,RZ,-0.00026314329132318506,-0.00036286171491859494,-0.00009971842359540988,0.00009971842359540988,0.37895103878190295,0.37895103878190295,37.8951038781903,37.8951038781903,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,60,,UX,0.002527107,0.0027145343439534675,0.0001874273439534677,0.0001874273439534677,0.07416676221207401,0.07416676221207401,7.416676221207401,7.416676221207401,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,60,,UY,0.006966026,0.007496142878561232,0.0005301168785612322,0.0005301168785612322,0.07610033016833875,0.07610033016833875,7.610033016833875,7.610033016833875,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,63,,RZ,0.0004631754768942551,0.00037891551692444055,-0.00008425995996981457,0.00008425995996981457,-0.18191800769506514,0.18191800769506514,-18.191800769506514,18.191800769506514,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,63,,UY,0.003868001,0.00435134929225364,0.0004833482922536399,0.0004833482922536399,0.12496074645628062,0.12496074645628062,12.496074645628061,12.496074645628061,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,64,,RZ,0.0006573433561786244,0.0005798696709653732,-0.00007747368521325115,0.00007747368521325115,-0.1178587788026547,0.1178587788026547,-11.78587788026547,11.78587788026547,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,64,,UY,0.002962479,0.0034316462654677402,0.0004691672654677402,0.0004691672654677402,0.1583698198258081,0.1583698198258081,15.836981982580811,15.836981982580811,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,65,,RZ,0.0005386784203355298,0.0004610336340652601,-0.00007764478627026974,0.00007764478627026974,-0.14413940365739297,0.14413940365739297,-14.413940365739297,14.413940365739297,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,65,,UY,0.001798502,0.0022469603506446653,0.0004484583506446653,0.0004484583506446653,0.24935104361555635,0.24935104361555635,24.935104361555634,24.935104361555634,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,70,,RX,-0.0027334648613034393,-0.0028943762223693713,-0.00016091136106593205,0.00016091136106593205,0.058867177458137236,0.058867177458137236,5.886717745813724,5.886717745813724,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,70,,RY,-0.000013124875974997357,0.000043019859586819106,0.00005614473556181646,0.00005614473556181646,-4.277734560598602,4.277734560598602,-427.77345605986017,427.77345605986017,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,71,,RX,-0.0027320511446093237,-0.002883172980656805,-0.0001511218360474814,0.0001511218360474814,0.05531442423604095,0.05531442423604095,5.531442423604095,5.531442423604095,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,71,,RY,-0.00001298524963483781,0.00004425069845110074,0.00005723594808593855,0.00005723594808593855,-4.407766480852368,4.407766480852368,-440.77664808523684,440.77664808523684,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,80,,RX,-0.002378185638767473,-0.002533085578244452,-0.00015489993947697886,0.00015489993947697886,0.06513366196141772,0.06513366196141772,6.513366196141772,6.513366196141772,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,80,,RY,0.0001772207322475042,0.00023401905846087226,0.00005679832621336805,0.00005679832621336805,0.32049481735604296,0.32049481735604296,32.049481735604296,32.049481735604296,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,90,,RX,-0.002323556833180051,-0.002477298091367758,-0.0001537412581877071,0.0001537412581877071,0.06616634290683338,0.06616634290683338,6.616634290683337,6.616634290683337,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,90,,RY,0.0001998227460608308,0.0002567540190112871,0.00005693127295045632,0.00005693127295045632,0.2849088708505942,0.2849088708505942,28.49088708505942,28.49088708505942,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,displacement,100,,RX,-0.0019069641940215242,-0.0020498940475005916,-0.00014292985347906734,0.00014292985347906734,0.07495151399652031,0.07495151399652031,7.4951513996520305,7.4951513996520305,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
